time,open,high,low,close,tick_volume,spread,real_volume
2024-09-30 18:30:00,2585.31,2587.89,2578.42,2585.3,407,0,0
2024-09-30 18:35:00,2585.59,2588.76,2581.24,2587.3,365,0,0
2024-09-30 18:40:00,2587.37,2589.96,2583.86,2586.19,369,0,0
2024-09-30 18:45:00,2586.24,2594.34,2586.24,2589.6,375,0,0
2024-09-30 18:50:00,2589.89,2595.04,2589.48,2594.34,327,0,0
2024-09-30 18:55:00,2594.15,2594.96,2591.74,2591.91,311,0,0
2024-09-30 19:00:00,2591.95,2594.02,2587.83,2593.98,359,0,0
2024-09-30 19:05:00,2594.0,2595.15,2591.58,2594.01,320,0,0
2024-09-30 19:10:00,2593.99,2594.7,2587.02,2587.83,313,0,0
2024-09-30 19:15:00,2587.75,2593.29,2586.86,2593.17,306,0,0
2024-09-30 19:20:00,2593.14,2594.03,2590.22,2592.88,312,0,0
2024-09-30 19:25:00,2593.18,2594.9,2591.17,2594.9,276,0,0
2024-09-30 19:30:00,2594.81,2597.11,2592.13,2592.28,309,0,0
2024-09-30 19:35:00,2592.3,2603.54,2589.58,2600.22,383,0,0
2024-09-30 19:40:00,2600.59,2600.59,2596.49,2598.6,297,0,0
2024-09-30 19:45:00,2598.53,2603.53,2598.49,2599.91,332,0,0
2024-09-30 19:50:00,2600.19,2605.44,2599.43,2600.56,339,0,0
2024-09-30 19:55:00,2600.65,2603.91,2596.63,2598.25,327,0,0
2024-09-30 20:00:00,2598.56,2604.97,2596.87,2602.13,337,0,0
2024-09-30 20:05:00,2602.19,2611.13,2602.14,2608.43,310,0,0
2024-09-30 20:10:00,2608.36,2609.29,2605.07,2607.5,286,0,0
2024-09-30 20:15:00,2607.34,2610.9,2606.85,2610.83,290,0,0
2024-09-30 20:20:00,2610.82,2614.84,2609.23,2611.32,300,0,0
2024-09-30 20:25:00,2611.23,2615.19,2609.1,2613.57,296,0,0
2024-09-30 20:30:00,2613.56,2618.75,2611.9,2617.84,303,0,0
2024-09-30 20:35:00,2617.84,2618.88,2616.86,2618.67,289,0,0
2024-09-30 20:40:00,2618.67,2618.78,2614.03,2615.92,285,0,0
2024-09-30 20:45:00,2615.9,2616.99,2613.99,2616.1,290,0,0
2024-09-30 20:50:00,2616.18,2619.44,2615.11,2617.94,280,0,0
2024-09-30 20:55:00,2617.93,2619.82,2615.88,2617.22,283,0,0
2024-09-30 21:00:00,2617.19,2617.19,2613.77,2614.14,265,0,0
2024-09-30 21:05:00,2614.17,2617.73,2613.59,2616.02,263,0,0
2024-09-30 21:10:00,2616.02,2616.53,2613.26,2613.78,263,0,0
2024-09-30 21:15:00,2613.78,2615.03,2613.15,2613.64,236,0,0
2024-09-30 21:20:00,2613.66,2615.85,2613.55,2615.73,240,0,0
2024-09-30 21:25:00,2615.73,2617.23,2614.07,2616.87,247,0,0
2024-09-30 21:30:00,2616.78,2618.81,2616.26,2617.71,254,0,0
2024-09-30 21:35:00,2617.72,2617.86,2611.62,2612.63,274,0,0
2024-09-30 21:40:00,2612.42,2614.14,2603.71,2608.28,284,0,0
2024-09-30 21:45:00,2608.27,2612.83,2608.27,2612.08,255,0,0
