time,open,high,low,close,tick_volume,spread,real_volume
2025-03-03 18:30:00,1.04883,1.04901,1.04882,1.049,37,0,0
2025-03-03 18:31:00,1.049,1.04902,1.04886,1.0489,47,0,0
2025-03-03 18:32:00,1.04891,1.04907,1.04877,1.04898,65,0,0
2025-03-03 18:33:00,1.04896,1.0491,1.0489,1.04907,62,0,0
2025-03-03 18:34:00,1.04907,1.04907,1.04894,1.04894,44,0,0
2025-03-03 18:35:00,1.04895,1.04906,1.04888,1.04905,44,0,0
2025-03-03 18:36:00,1.04905,1.04913,1.04897,1.04913,44,0,0
2025-03-03 18:37:00,1.04914,1.04918,1.04904,1.04911,43,0,0
2025-03-03 18:38:00,1.04911,1.04921,1.04909,1.04914,32,0,0
2025-03-03 18:39:00,1.04914,1.04917,1.04903,1.04907,29,0,0
2025-03-03 18:40:00,1.04906,1.04911,1.04904,1.04904,26,0,0
2025-03-03 18:41:00,1.04902,1.04902,1.04888,1.0489,41,0,0
2025-03-03 18:42:00,1.04891,1.04896,1.04889,1.04895,23,0,0
2025-03-03 18:43:00,1.04895,1.04898,1.04889,1.04889,37,0,0
2025-03-03 18:44:00,1.0489,1.04891,1.04883,1.04884,24,0,0
2025-03-03 18:45:00,1.04883,1.04887,1.04878,1.04887,29,0,0
2025-03-03 18:46:00,1.04886,1.04886,1.04879,1.04883,26,0,0
2025-03-03 18:47:00,1.04884,1.0489,1.04878,1.04887,32,0,0
2025-03-03 18:48:00,1.04886,1.05042,1.04868,1.04869,950,0,0
2025-03-03 18:49:00,1.04869,1.04886,1.04819,1.0488,397,0,0
2025-03-03 18:50:00,1.04883,1.04894,1.0487,1.0489,109,0,0
2025-03-03 18:51:00,1.04888,1.04896,1.04875,1.04876,90,0,0
2025-03-03 18:52:00,1.04875,1.04898,1.0487,1.04898,62,0,0
2025-03-03 18:53:00,1.04898,1.04906,1.04884,1.04887,61,0,0
2025-03-03 18:54:00,1.04885,1.04893,1.04857,1.04868,96,0,0
2025-03-03 18:55:00,1.04868,1.04877,1.04857,1.04874,61,0,0
2025-03-03 18:56:00,1.04874,1.04874,1.04858,1.04863,65,0,0
2025-03-03 18:57:00,1.04861,1.04875,1.0486,1.04872,58,0,0
2025-03-03 18:58:00,1.04872,1.04883,1.0487,1.04877,50,0,0
2025-03-03 18:59:00,1.04878,1.04882,1.04863,1.04871,55,0,0
2025-03-03 19:00:00,1.0487,1.04883,1.04863,1.04881,61,0,0
2025-03-03 19:01:00,1.0488,1.04883,1.04863,1.04869,69,0,0
2025-03-03 19:02:00,1.04869,1.04879,1.04863,1.04879,36,0,0
2025-03-03 19:03:00,1.04877,1.04885,1.04869,1.04879,54,0,0
2025-03-03 19:04:00,1.04879,1.04887,1.0487,1.04881,38,0,0
2025-03-03 19:05:00,1.04881,1.04882,1.04853,1.04853,46,0,0
2025-03-03 19:06:00,1.04852,1.04859,1.04842,1.04849,51,0,0
2025-03-03 19:07:00,1.0485,1.04858,1.04846,1.04854,35,0,0
2025-03-03 19:08:00,1.04854,1.04865,1.04849,1.04864,30,0,0
2025-03-03 19:09:00,1.04864,1.04886,1.04863,1.0487,65,0,0
2025-03-03 19:10:00,1.04869,1.04871,1.04858,1.04861,53,0,0
2025-03-03 19:11:00,1.04862,1.04862,1.04845,1.04854,47,0,0
2025-03-03 19:12:00,1.04852,1.04868,1.04852,1.0486,40,0,0
2025-03-03 19:13:00,1.0486,1.04882,1.04858,1.0488,43,0,0
2025-03-03 19:14:00,1.0488,1.04888,1.04875,1.04887,26,0,0
2025-03-03 19:15:00,1.04887,1.04907,1.04887,1.04904,49,0,0
2025-03-03 19:16:00,1.04904,1.04905,1.04886,1.04894,41,0,0
2025-03-03 19:17:00,1.04892,1.04905,1.04889,1.049,34,0,0
2025-03-03 19:18:00,1.04902,1.04902,1.04885,1.04888,28,0,0
2025-03-03 19:19:00,1.04888,1.04893,1.04879,1.04882,28,0,0
2025-03-03 19:20:00,1.04881,1.04881,1.04872,1.04872,37,0,0
2025-03-03 19:21:00,1.0487,1.04892,1.04865,1.04889,47,0,0
2025-03-03 19:22:00,1.04886,1.04897,1.04885,1.04892,33,0,0
2025-03-03 19:23:00,1.04892,1.04908,1.04891,1.049,34,0,0
2025-03-03 19:24:00,1.049,1.04907,1.04893,1.049,38,0,0
2025-03-03 19:25:00,1.04898,1.04899,1.04879,1.04883,34,0,0
2025-03-03 19:26:00,1.04883,1.04892,1.04877,1.04886,41,0,0
2025-03-03 19:27:00,1.04889,1.04892,1.04885,1.04891,22,0,0
2025-03-03 19:28:00,1.04891,1.04896,1.04887,1.04889,23,0,0
2025-03-03 19:29:00,1.04889,1.04895,1.04884,1.04891,30,0,0
2025-03-03 19:30:00,1.04891,1.04909,1.04891,1.04906,25,0,0
2025-03-03 19:31:00,1.04906,1.04909,1.04901,1.04907,24,0,0
2025-03-03 19:32:00,1.04907,1.04907,1.04906,1.04907,7,0,0
2025-03-03 19:33:00,1.04907,1.04908,1.04903,1.04906,17,0,0
2025-03-03 19:34:00,1.04906,1.0491,1.04905,1.04909,14,0,0
2025-03-03 19:35:00,1.04909,1.04912,1.04904,1.0491,26,0,0
2025-03-03 19:36:00,1.0491,1.0491,1.04903,1.04905,26,0,0
2025-03-03 19:37:00,1.04905,1.04911,1.04904,1.04906,21,0,0
2025-03-03 19:38:00,1.04906,1.04911,1.04904,1.04911,21,0,0
2025-03-03 19:39:00,1.04911,1.04912,1.04903,1.04904,23,0,0
2025-03-03 19:40:00,1.04905,1.04915,1.04905,1.04912,28,0,0
2025-03-03 19:41:00,1.04912,1.04918,1.0491,1.04916,22,0,0
2025-03-03 19:42:00,1.04916,1.04921,1.04915,1.04917,17,0,0
2025-03-03 19:43:00,1.04917,1.04925,1.04916,1.04921,22,0,0
2025-03-03 19:44:00,1.04921,1.04938,1.0492,1.04935,29,0,0
2025-03-03 19:45:00,1.04934,1.04936,1.04921,1.04921,33,0,0
2025-03-03 19:46:00,1.04922,1.04932,1.04922,1.04932,38,0,0
2025-03-03 19:47:00,1.04932,1.04932,1.04928,1.0493,14,0,0
2025-03-03 19:48:00,1.04931,1.04934,1.04926,1.04932,25,0,0
2025-03-03 19:49:00,1.0493,1.0493,1.04915,1.04919,35,0,0
2025-03-03 19:50:00,1.04919,1.04925,1.04915,1.04918,28,0,0
2025-03-03 19:51:00,1.04918,1.04925,1.04763,1.04839,505,0,0
2025-03-03 19:52:00,1.0484,1.04901,1.0476,1.04803,1038,0,0
2025-03-03 19:53:00,1.04802,1.04806,1.04756,1.04778,417,0,0
2025-03-03 19:54:00,1.04776,1.04841,1.04736,1.0481,419,0,0
2025-03-03 19:55:00,1.04807,1.04812,1.04742,1.0476,193,0,0
2025-03-03 19:56:00,1.04762,1.04779,1.04737,1.0474,153,0,0
2025-03-03 19:57:00,1.04741,1.04771,1.04725,1.04768,121,0,0
2025-03-03 19:58:00,1.0477,1.04786,1.04756,1.04772,123,0,0
2025-03-03 19:59:00,1.04768,1.04774,1.04729,1.04731,216,0,0
2025-03-03 20:00:00,1.04729,1.04736,1.04685,1.04685,147,0,0
2025-03-03 20:01:00,1.04684,1.04728,1.04676,1.04728,148,0,0
2025-03-03 20:02:00,1.04729,1.04747,1.04717,1.0472,138,0,0
2025-03-03 20:03:00,1.04721,1.04755,1.04714,1.04742,136,0,0
2025-03-03 20:04:00,1.04744,1.04768,1.0473,1.0473,120,0,0
2025-03-03 20:05:00,1.04734,1.04834,1.04729,1.04809,313,0,0
2025-03-03 20:06:00,1.04807,1.04822,1.048,1.04815,150,0,0
2025-03-03 20:07:00,1.04816,1.04849,1.04809,1.04824,167,0,0
2025-03-03 20:08:00,1.04823,1.04828,1.04809,1.04811,102,0,0
2025-03-03 20:09:00,1.04811,1.04833,1.04803,1.04824,102,0,0
2025-03-03 20:10:00,1.04825,1.04852,1.04821,1.04833,132,0,0
2025-03-03 20:11:00,1.04834,1.04842,1.04789,1.04789,127,0,0
2025-03-03 20:12:00,1.04789,1.04796,1.04743,1.04762,123,0,0
2025-03-03 20:13:00,1.04763,1.0478,1.04743,1.04763,147,0,0
2025-03-03 20:14:00,1.04766,1.04782,1.0475,1.04782,119,0,0
